Date,Close,High,Low,Open,Volume,Ticker
2021-05-31,2048.967041015625,2086.910875108507,1973.079372829861,1982.565331353081,69536200,BBNI
2021-06-02,2105.882568359375,2115.368525874507,2058.452780783713,2086.91065332911,76636200,BBNI
2021-06-03,2181.7705078125,2181.7705078125,2077.4249617866844,2115.368796705163,54852600,BBNI
2021-06-04,2134.340576171875,2181.770366753472,2124.8546180555554,2162.7984505208333,60249000,BBNI
2021-06-07,2096.396728515625,2143.826518753535,2077.424812420461,2134.340560705953,29282200,BBNI
2021-06-08,2096.396728515625,2115.368644610789,2077.424812420461,2105.882686563207,39074200,BBNI
2021-06-09,2134.340576171875,2143.8265342881946,2086.9107855902776,2115.368659939236,31051200,BBNI
2021-06-10,2153.3125,2162.79845814978,2124.854625550661,2143.82654185022,36977200,BBNI
2021-06-11,2153.3125,2162.79845814978,2124.854625550661,2153.3125,37208800,BBNI
2021-06-14,2105.882568359375,2153.3123559350365,2096.3966108442423,2153.3123559350365,37052800,BBNI
2021-06-15,2096.396728515625,2115.368644610789,2086.9107704680428,2105.882686563207,28499000,BBNI
2021-06-16,2039.48095703125,2096.3967046693315,2020.5090411518893,2086.9107467296512,41794200,BBNI
2021-06-17,1992.05126953125,2029.9951032366075,1982.5653111049107,2029.9951032366075,51324600,BBNI
2021-06-18,1874.4251708984373,1982.5650846041165,1855.4532562132304,1982.5650846041165,309557000,BBNI
2021-06-21,1885.80859375,1893.397360726861,1813.7153074698188,1855.453525842555,106378400,BBNI
2021-06-22,1878.2197265625,1906.6776012073865,1863.0421934185608,1897.191642992424,73577200,BBNI
2021-06-23,1840.2760009765625,1885.8086030625807,1840.2760009765625,1885.8086030625807,79150800,BBNI
2021-06-24,1828.8927001953125,1855.453382563294,1817.5095506090345,1840.2758497815903,58488200,BBNI
2021-06-25,1806.1265869140625,1851.6591899455093,1806.1265869140625,1828.892888429786,55871200,BBNI
2021-06-28,1737.82763671875,1802.332155985603,1737.82763671875,1802.332155985603,107955600,BBNI
2021-06-29,1737.82763671875,1768.182704609034,1730.238869746179,1737.82763671875,51061600,BBNI
2021-06-30,1756.7996826171875,1775.7716014359478,1737.8277637984274,1737.8277637984274,75289400,BBNI
2021-07-01,1783.360107421875,1813.71517308012,1756.7994249709109,1756.7994249709109,58895400,BBNI
2021-07-02,1832.687255859375,1844.0704065168868,1783.3602696768246,1783.3602696768246,70071000,BBNI
2021-07-05,1790.9488525390625,1836.4814504849708,1783.3600862147443,1832.687067322812,49599400,BBNI
2021-07-06,1787.154541015625,1802.332074272658,1775.7713910728503,1794.7433076441414,53836400,BBNI
2021-07-07,1794.743408203125,1806.1265587836947,1775.7714905688426,1787.154641149412,40015800,BBNI
2021-07-08,1806.1265869140625,1832.68727201574,1790.9490525702467,1802.3322033281088,50402000,BBNI
2021-07-09,1760.59375,1806.1263469827584,1753.004983836207,1806.1263469827584,56642000,BBNI
2021-07-12,1783.360107421875,1787.1544906291556,1745.416275349069,1764.388191385472,50318200,BBNI
