Date,Close,High,Low,Open,Volume,Ticker
2021-05-31,1186.6051025390625,1209.9634706992804,1167.9184080108882,1167.9184080108882,7358400,ISAT
2021-06-02,1237.99365234375,1261.3520231426887,1186.6052365860849,1186.6052365860849,13763200,ISAT
2021-06-03,1294.0538330078125,1308.0688564699908,1214.6353667221344,1242.6654136464913,13538000,ISAT
2021-06-04,1242.6654052734375,1298.7254987444196,1233.322056361607,1294.0538242885043,7517200,ISAT
2021-06-07,1252.0086669921875,1280.0387117755947,1242.665318731052,1261.352015253323,4681200,ISAT
2021-06-08,1191.27685546875,1252.0086167279412,1177.261833639706,1252.0086167279412,9756400,ISAT
2021-06-09,1270.6953125,1298.7253561580883,1186.6051815257354,1191.27685546875,15287600,ISAT
2021-06-10,1289.382080078125,1345.4421705163045,1270.6953832653985,1284.7104058749435,16437200,ISAT
2021-06-11,1266.023681640625,1322.0837708645645,1242.6653111306505,1298.7254003545895,9266400,ISAT
2021-06-14,1289.382080078125,1303.39710268767,1266.023709062217,1266.023709062217,5943200,ISAT
2021-06-15,1261.3519287109375,1308.0686668113426,1233.3218858506946,1294.053645381221,8250000,ISAT
2021-06-16,1219.3070068359375,1270.6954247485633,1214.6353324802442,1261.3520760371766,7951200,ISAT
2021-06-17,1223.978515625,1237.9935367962785,1205.2918207299615,1219.3068419012404,5481200,ISAT
2021-06-18,1275.3671875,1280.0388621794873,1214.6354166666667,1233.3221153846157,17592400,ISAT
2021-06-21,1326.7554931640625,1331.427167435767,1214.635310643156,1275.3670761753135,17629600,ISAT
2021-06-22,1345.442138671875,1387.487205505371,1298.7253977457683,1326.7554423014324,17320000,ISAT
2021-06-23,1303.39697265625,1378.1437524501569,1303.39697265625,1345.442036290323,7479200,ISAT
2021-06-24,1284.7103271484375,1303.3970228160513,1270.6953053977272,1303.3970228160513,7284400,ISAT
2021-06-25,1298.725341796875,1298.725341796875,1266.0236245573851,1280.0386462314525,3216400,ISAT
2021-06-28,1289.382080078125,1326.755473703578,1275.3670574685802,1308.0687768908515,3884000,ISAT
2021-06-29,1317.412109375,1317.412109375,1252.008671320922,1294.0537386414007,8829200,ISAT
2021-06-30,1280.0386962890625,1345.44213332573,1270.695348140967,1345.44213332573,10433600,ISAT
2021-07-01,1200.620361328125,1275.3671542512768,1200.620361328125,1275.3671542512768,19100400,ISAT
2021-07-02,1195.9486083984375,1233.322002410889,1191.276934146881,1200.620282649994,5199200,ISAT
2021-07-05,1172.5902099609375,1214.6352772503735,1167.918535817667,1195.948580677291,4697600,ISAT
2021-07-06,1186.6051025390625,1200.6201234351931,1177.2617552749757,1177.2617552749757,4978000,ISAT
2021-07-07,1149.2318115234375,1191.276877798685,1130.5451154011052,1191.276877798685,15820000,ISAT
2021-07-08,1135.2169189453125,1158.575291763117,1130.5452443817517,1153.9036171995565,13346800,ISAT
2021-07-09,1135.2169189453125,1158.575291763117,1121.2018952546296,1139.8885935088736,6143600,ISAT
2021-07-12,1205.2918701171875,1214.6352179475532,1135.216761389444,1139.888435304627,13610800,ISAT
2021-07-13,1135.2169189453125,1214.6353865258488,1130.5452443817517,1205.292037398727,15166800,ISAT
2021-07-14,1139.8885498046875,1144.560224189133,1125.8735266513513,1135.216875420242,4124800,ISAT
2021-07-15,1144.5601806640625,1158.5752032844389,1139.8885064572703,1139.8885064572703,4407200,ISAT
2021-07-16,1135.2169189453125,1149.2319426359954,1130.5452443817517,1149.2319426359954,3352800,ISAT
2021-07-19,1149.2318115234375,1163.2468336151867,1125.873441370522,1135.2167894316883,7487200,ISAT
2021-07-21,1130.5450439453125,1163.246760092491,1130.5450439453125,1153.9034126218687,6325200,ISAT
2021-07-22,1139.8885498046875,1153.903572958024,1130.5452010357967,1135.216875420242,7172400,ISAT
2021-07-23,1111.8582763671875,1144.559990377987,1111.8582763671875,1139.888316947873,8689600,ISAT
2021-07-26,1130.5450439453125,1135.2167176806238,1111.8583490040678,1111.8583490040678,7089200,ISAT
2021-07-27,1107.1868896484375,1149.231961407239,1074.4851671693698,1139.8886121275052,12612000,ISAT
2021-07-28,1065.1417236328125,1116.5301401238692,1060.4700494063527,1111.8584658974096,9753200,ISAT
2021-07-29,1121.2017822265625,1144.560152689616,1074.4850413004558,1111.8584340413413,28170400,ISAT
2021-07-30,1102.5152587890625,1172.5903811697233,1083.828559487553,1139.8886573920815,11736800,ISAT
2021-08-02,1111.8582763671875,1135.2166435177587,1102.5149295069589,1111.8582763671875,5145600,ISAT
2021-08-03,1111.8582763671875,1121.201623227416,1102.5149295069589,1111.8582763671875,9620400,ISAT
2021-08-04,1116.530029296875,1135.2167243478686,1102.5150080086296,1121.2017030596237,5932400,ISAT
2021-08-05,1139.8885498046875,1139.8885498046875,1102.515154729124,1125.8735266513513,6467200,ISAT
2021-08-06,1149.2318115234375,1158.5751595846036,1121.201767339939,1139.8884634622714,8492000,ISAT
2021-08-09,1121.2017822265625,1153.9035008748374,1111.8584340413413,1130.545130411784,4186400,ISAT
2021-08-10,1153.9034423828125,1153.9034423828125,1083.8283345457996,1121.2017253922063,9529600,ISAT
2021-08-12,1181.9337158203125,1219.307113949018,1139.8886429255188,1158.5753419898715,20818800,ISAT
2021-08-13,1214.6353759765625,1252.0087721604568,1181.933654315655,1186.6053288386418,26928400,ISAT
2021-08-16,1172.5902099609375,1228.6502996801855,1139.888490958043,1228.6502996801855,22948800,ISAT
2021-08-18,1116.530029296875,1139.8883981106171,1097.8433342458814,1139.8883981106171,19302800,ISAT
2021-08-19,1139.8885498046875,1186.605293649142,1111.858503498015,1116.5301778824603,18796400,ISAT
2021-08-20,1219.3070068359375,1233.3220299030172,1121.2018453663793,1121.2018453663793,13301600,ISAT
2021-08-23,1214.6353759765625,1233.3220740685097,1200.6203524076022,1214.6353759765625,4270800,ISAT
2021-08-24,1186.6051025390625,1219.3068179633674,1186.6051025390625,1205.2917970672368,2185200,ISAT
2021-08-25,1200.620361328125,1214.635385001216,1181.933663097337,1186.605337655034,2924000,ISAT
2021-08-26,1195.9486083984375,1223.978653907776,1186.6052598953247,1219.3069796562197,3844800,ISAT
