Date,Close,High,Low,Open,Volume,Ticker
2021-05-31,7346.9072265625,7369.306333960557,7234.911689572218,7302.109011766387,4574100,ICBP
2021-06-02,7369.306640625,7503.701290606003,7346.907532294833,7391.705748955167,5611200,ICBP
2021-06-03,7794.8896484375,7794.889648437499,7391.705701104525,7391.705701104525,10251900,ICBP
2021-06-04,7570.89794921875,7772.489906446468,7548.498842860115,7772.489906446468,9862700,ICBP
2021-06-07,7481.30126953125,7638.095008713042,7458.902163933851,7615.695903115644,3596700,ICBP
2021-06-08,7324.5078125,7503.700664181957,7279.709599579511,7481.301557721712,8321100,ICBP
2021-06-09,7302.10888671875,7391.705314776648,7279.709779704275,7324.507993733225,4260000,ICBP
2021-06-10,7302.10888671875,7369.306207762173,7302.10888671875,7324.507993733225,2264700,ICBP
2021-06-11,7324.5078125,7369.306025420489,7302.108706039755,7324.5078125,2528900,ICBP
2021-06-14,7302.10888671875,7391.705314776648,7302.10888671875,7324.507993733225,2865900,ICBP
2021-06-15,7302.10888671875,7346.907100747699,7279.709779704275,7324.507993733225,4067700,ICBP
2021-06-16,7324.5078125,7458.902451261468,7302.108706039755,7324.5078125,4552800,ICBP
2021-06-17,7279.71044921875,7391.705994591346,7279.71044921875,7324.508667367788,4122100,ICBP
2021-06-18,6943.72265625,7302.1083417338705,6943.72265625,7279.709236391129,22478200,ICBP
2021-06-21,7100.517578125,7167.714905362776,6831.728269173896,6921.324705490931,8643800,ICBP
2021-06-22,7212.5126953125,7302.109126310171,7122.916264314829,7145.315372064247,4253300,ICBP
2021-06-23,7145.3154296875,7302.1091851978845,7122.916321757445,7302.1091851978845,3698700,ICBP
2021-06-24,7190.11376953125,7279.710202796436,7055.71911963347,7167.714661214954,5529100,ICBP
2021-06-25,7190.11376953125,7257.31109448014,7167.714661214954,7190.11376953125,3121500,ICBP
2021-06-28,7145.3154296875,7257.310969337775,7078.118105897335,7190.11364554761,3796900,ICBP
2021-06-29,7391.705078125,7436.503290719696,7167.714015151515,7212.5122277462115,9487400,ICBP
2021-06-30,7302.10888671875,7481.301742834547,7302.10888671875,7391.705314776648,5574700,ICBP
2021-07-01,7615.697265625,7794.890142463236,7481.302607996324,7548.499936810662,17723600,ICBP
2021-07-02,7548.49951171875,7682.894161779024,7481.302186688612,7615.696836748887,10481800,ICBP
2021-07-05,7369.306640625,7548.499507266337,7346.907532294833,7548.499507266337,3802800,ICBP
2021-07-06,7526.10009765625,7526.10009765625,7369.306345621745,7414.104560488747,2930700,ICBP
2021-07-07,7570.89794921875,7615.69616193602,7458.902417425573,7481.301523784208,4513900,ICBP
