Date,Close,High,Low,Open,Volume,Ticker
2023-03-08,27.399999618530277,27.399999618530277,24.0,27.399999618530277,1063562000,CUAN
2023-03-09,34.20000076293945,34.20000076293945,33.0,34.20000076293945,528003000,CUAN
2023-03-10,42.59999847412109,42.59999847412109,32.0,42.400001525878906,6772109000,CUAN
2023-03-13,53.0,53.0,41.20000076293945,44.0,1791283000,CUAN
2023-03-14,66.0,66.0,55.0,55.0,3085736000,CUAN
2023-03-15,82.5,82.5,70.0,71.0,1579973000,CUAN
2023-03-16,77.0,100.0,77.0,82.5,3183218000,CUAN
2023-03-17,72.0,75.5,72.0,72.0,423053000,CUAN
2023-03-20,67.0,67.0,67.0,67.0,170044000,CUAN
2023-03-21,76.0,79.0,62.5,62.5,3310310000,CUAN
2023-03-24,71.0,80.5,71.0,78.5,840632000,CUAN
2023-03-27,71.0,75.5,66.5,67.0,891215000,CUAN
2023-03-28,75.5,78.0,71.5,72.0,1041581000,CUAN
2023-03-29,73.5,76.0,71.5,76.0,338113000,CUAN
2023-03-30,74.0,78.5,72.0,73.5,542392000,CUAN
2023-03-31,81.5,88.0,74.5,74.5,1862118000,CUAN
2023-04-03,81.0,85.0,79.0,82.5,569833000,CUAN
2023-04-04,89.5,92.0,82.0,84.0,1568691000,CUAN
2023-04-05,90.0,94.0,88.5,92.0,651606000,CUAN
2023-04-06,90.0,92.5,87.5,91.5,277584000,CUAN
2023-04-10,87.0,92.5,86.5,90.5,184360000,CUAN
2023-04-11,94.5,95.0,87.0,87.0,738211000,CUAN
2023-04-12,92.5,96.0,91.5,94.5,329596000,CUAN
2023-04-13,90.0,93.5,88.5,92.5,159841000,CUAN
2023-04-14,89.0,92.5,89.0,92.5,122071000,CUAN
2023-04-17,90.0,91.0,83.0,89.0,305175000,CUAN
2023-04-18,95.0,95.0,87.5,90.0,215273000,CUAN
2023-04-26,103.0,106.5,94.0,95.0,664295000,CUAN
2023-04-27,101.5,106.5,100.0,103.0,174866000,CUAN
2023-04-28,100.0,103.5,97.5,103.5,160212000,CUAN
2023-05-02,99.0,104.5,99.0,101.0,135308000,CUAN
2023-05-03,97.0,100.0,97.0,99.5,60832000,CUAN
2023-05-04,92.0,100.0,90.5,97.0,218245000,CUAN
2023-05-05,90.0,93.0,86.0,92.0,301876000,CUAN
2023-05-08,88.0,93.5,84.5,90.0,136919000,CUAN
2023-05-09,85.5,88.0,84.0,88.0,51353000,CUAN
2023-05-10,80.5,85.5,80.5,81.5,116370000,CUAN
2023-05-11,81.0,85.5,80.0,80.0,113876000,CUAN
2023-05-12,85.5,88.0,80.0,82.5,143480000,CUAN
2023-05-15,82.5,87.0,82.0,86.5,79891000,CUAN
2023-05-16,92.0,98.5,82.5,82.5,549210000,CUAN
2023-05-17,87.5,93.5,87.0,92.0,178307000,CUAN
2023-05-19,87.0,89.5,86.0,87.0,71731000,CUAN
2023-05-22,88.5,89.5,87.0,87.5,41094000,CUAN
2023-05-23,86.5,89.0,86.5,88.5,48288000,CUAN
2023-05-24,87.0,89.0,86.5,86.5,38002000,CUAN
2023-05-25,88.0,90.5,87.0,87.5,86636000,CUAN
2023-05-26,87.5,88.5,86.5,88.0,33297000,CUAN
2023-05-29,87.5,88.5,86.5,87.5,33447000,CUAN
2023-05-30,88.0,91.0,86.5,88.0,61113000,CUAN
2023-05-31,87.5,89.5,87.5,88.5,42036000,CUAN
2023-06-05,88.5,89.5,87.5,88.0,29389000,CUAN
2023-06-06,89.5,91.5,88.5,89.0,33783000,CUAN
2023-06-07,92.5,93.0,88.5,90.0,134344000,CUAN
2023-06-08,91.5,95.5,91.5,94.0,145215000,CUAN
2023-06-09,89.0,92.5,88.5,92.0,49284000,CUAN
2023-06-12,88.5,91.5,88.0,89.0,34325000,CUAN
2023-06-13,90.0,91.5,88.5,89.5,26782000,CUAN
2023-06-14,90.0,92.0,89.5,90.5,26533000,CUAN
2023-06-15,91.0,92.0,89.5,90.5,41920000,CUAN
2023-06-16,99.5,103.0,90.5,91.0,480607000,CUAN
2023-06-19,94.5,102.0,93.5,99.5,144123000,CUAN
2023-06-20,92.0,96.5,91.0,94.5,54432000,CUAN
2023-06-21,90.0,92.0,88.5,92.0,49302000,CUAN
2023-06-22,90.5,93.5,89.5,90.5,30968000,CUAN
2023-06-23,87.0,93.5,86.0,90.5,88285000,CUAN
2023-06-26,80.0,87.0,74.0,86.5,370343000,CUAN
