Date,Close,High,Low,Open,Volume,Ticker
2021-05-31,2754.87255859375,2767.8061559333632,2657.8699706913694,2670.8037417039204,326538660,BBRI
2021-06-02,2754.87255859375,2832.4746636502423,2735.4720757478617,2813.074007131416,312257333,BBRI
2021-06-03,2819.540771484375,2819.540771484375,2729.005072978513,2761.339325447577,173444725,BBRI
2021-06-04,2806.60693359375,2838.941009612165,2774.27268390242,2832.474298612231,138144236,BBRI
2021-06-07,2748.405517578125,2813.0738479630245,2722.53815068958,2806.607136495584,152755788,BBRI
2021-06-08,2716.071533203125,2767.8060950973977,2709.604647838991,2767.8060950973977,108888570,BBRI
2021-06-09,2729.0048828125,2761.339133028406,2651.402786498074,2651.402786498074,107433795,BBRI
2021-06-10,2780.73974609375,2793.6733425921952,2754.872379423933,2767.8059759223784,106984877,BBRI
2021-06-11,2767.80615234375,2813.074003483094,2767.80615234375,2813.074003483094,57809408,BBRI
2021-06-14,2813.073974609375,2813.073974609375,2767.8061239346657,2800.140377419288,133363443,BBRI
2021-06-15,2735.471923828125,2813.073850901906,2722.538153533876,2813.073850901906,200713646,BBRI
2021-06-16,2593.20166015625,2696.6709608299752,2593.20166015625,2683.737363373112,481002668,BBRI
2021-06-17,2606.13525390625,2632.0026224561234,2541.466919368036,2573.8011734736124,336253477,BBRI
2021-06-18,2528.533203125,2625.5357872110694,2528.533203125,2625.5357872110694,325605954,BBRI
2021-06-21,2547.933349609375,2567.33382913669,2496.198621754597,2509.1323905547456,159544775,BBRI
2021-06-22,2612.601806640625,2632.0022871633537,2534.999710876795,2547.933480340558,132832794,BBRI
2021-06-23,2547.933349609375,2632.002152118708,2547.933349609375,2619.068556991468,178751767,BBRI
2021-06-24,2580.267822265625,2593.2015930607845,2560.8673397458206,2586.734707663205,55421157,BBRI
2021-06-25,2580.267822265625,2612.602075580589,2580.267822265625,2606.1351901830094,83150216,BBRI
2021-06-28,2541.466796875,2580.2677609932207,2541.466796875,2573.8010494221376,155357663,BBRI
2021-06-29,2522.06640625,2528.533291728462,2496.199038009089,2496.199038009089,133952393,BBRI
2021-06-30,2547.933349609375,2567.33382913669,2515.599101281912,2522.065985681986,124133954,BBRI
2021-07-01,2547.933349609375,2567.33382913669,2528.53287008206,2547.933349609375,105240907,BBRI
2021-07-02,2580.267822265625,2606.1351901830094,2567.3342251434005,2586.734707663205,93832940,BBRI
2021-07-05,2522.06640625,2560.867371774897,2509.1328089660133,2541.4668890124485,93466744,BBRI
2021-07-06,2515.599609375,2554.400749939473,2515.599609375,2554.400749939473,60849751,BBRI
2021-07-07,2470.33154296875,2547.93364370825,2463.864657822226,2534.9998734152027,163599005,BBRI
2021-07-08,2502.665771484375,2522.0662530685063,2470.331519728872,2515.59936798282,162349164,BBRI
2021-07-09,2457.398193359375,2502.666046589382,2444.4644217662617,2496.1991607928253,140611578,BBRI
2021-07-12,2431.5302734375,2470.3312320878467,2425.063389104807,2457.3976370953665,131702194,BBRI
2021-07-13,2444.4638671875,2457.3976358463124,2431.5302722015936,2457.3976358463124,175683484,BBRI
2021-07-14,2399.1962890625,2457.397907105923,2392.729577692173,2444.464137019418,115704508,BBRI
2021-07-15,2463.864501953125,2483.265156165371,2412.1299450725533,2425.063540874467,139855425,BBRI
2021-07-16,2483.265380859375,2496.198977831563,2463.8647248916936,2489.7320925090025,108336691,BBRI
2021-07-19,2444.4638671875,2489.7317101475314,2444.4638671875,2489.7317101475314,69326497,BBRI
2021-07-21,2470.33154296875,2509.132680174964,2463.864657822226,2489.7320247353928,111008747,BBRI
2021-07-22,2522.06640625,2528.533291728462,2483.2654407251025,2502.6659234875515,93842180,BBRI
2021-07-23,2502.665771484375,2554.4005048240087,2476.798404814558,2547.933619738323,95960267,BBRI
2021-07-26,2476.79833984375,2522.0661869102423,2470.331454927702,2522.0661869102423,90198037,BBRI
2021-07-27,2457.398193359375,2496.1991607928253,2437.99770964265,2496.1991607928253,99741692,BBRI
2021-07-28,2412.13037109375,2463.864937111482,2405.6634852141783,2457.3982249048577,77777283,BBRI
2021-07-29,2437.99755859375,2483.265409019136,2425.063787801963,2431.5306731978567,102817895,BBRI
2021-07-30,2399.1962890625,2476.798388562756,2399.1962890625,2476.798388562756,113633172,BBRI
2021-08-02,2418.5966796875,2437.997334088655,2392.729487831797,2437.997334088655,105807637,BBRI
2021-08-03,2425.063720703125,2444.464202681081,2405.6632387251684,2418.596835486163,87862477,BBRI
2021-08-04,2489.73193359375,2489.73193359375,2437.9973753341924,2450.9309714808514,91847406,BBRI
2021-08-05,2619.068603515625,2644.935967902512,2522.0660304830258,2522.0660304830258,294149590,BBRI
2021-08-06,2541.466796875,2625.535784028385,2522.0663148158897,2619.068898784372,152456913,BBRI
2021-08-09,2489.73193359375,2554.4004353458104,2470.3314525373007,2547.93355043602,102404178,BBRI
2021-08-10,2470.33154296875,2515.5993916485595,2463.864657822226,2515.5993916485595,94349949,BBRI
2021-08-12,2463.864501953125,2489.7318672298693,2457.397790888627,2489.7318672298693,94464021,BBRI
2021-08-13,2502.665771484375,2509.1326565700606,2470.331519728872,2470.331519728872,104829940,BBRI
2021-08-16,2541.466796875,2541.466796875,2483.265350697669,2502.6658327567798,70083530,BBRI
2021-08-18,2632.00244140625,2644.936211627969,2541.466744545921,2580.267707865225,247351372,BBRI
2021-08-19,2509.13232421875,2599.6680087345912,2496.198555760542,2586.7342402763834,218214729,BBRI
2021-08-20,2541.466796875,2547.9336821190136,2476.798465453656,2509.132718000793,88330535,BBRI
2021-08-23,2560.8671875,2580.2676688664287,2541.4667061335717,2573.8009575262354,68133856,BBRI
2021-08-24,2515.599609375,2560.867461972766,2476.7986424834703,2554.400749939473,150882016,BBRI
2021-08-25,2515.599609375,2522.066495081236,2489.7322402229997,2489.7322402229997,86571495,BBRI
2021-08-26,2502.665771484375,2522.0662530685063,2483.265289900244,2515.59936798282,69144334,BBRI
2021-08-27,2483.265380859375,2515.5994601263114,2476.7984955368147,2515.5994601263114,79498923,BBRI
2021-08-30,2547.933349609375,2547.933349609375,2483.2650266273563,2489.731737354523,128539860,BBRI
2021-08-31,2541.466796875,2554.400567363027,2502.6658327567798,2547.9336821190136,134879489,BBRI
2021-09-01,2515.599609375,2541.4669785270007,2509.132897341707,2541.4669785270007,97691477,BBRI
2021-09-02,2502.665771484375,2515.59936798282,2483.265289900244,2496.198886398689,81242343,BBRI
2021-09-03,2541.466796875,2541.466796875,2463.864694965628,2489.732062268752,165056860,BBRI
2021-09-06,2489.73193359375,2573.80091640226,2489.73193359375,2554.4004353458104,188929693,BBRI
2021-09-07,2528.533203125,2534.999914703922,2502.6658357905194,2515.5994326212945,140380354,BBRI
2021-09-08,2653.388671875,2760.0933101541555,2646.275029323056,2717.411454842493,228087900,BBRI
2021-09-09,2653.388671875,2681.843242082775,2596.4795314594503,2632.047744219169,306319600,BBRI
2021-09-10,2688.957275390625,2696.0709189763147,2610.707195948041,2639.161770290799,177033000,BBRI
2021-09-13,2632.048095703125,2667.6163132126267,2603.593521695524,2639.161739205025,169825000,BBRI
2021-09-14,2632.048095703125,2653.3890262088257,2603.593521695524,2646.275382706925,216363400,BBRI
2021-09-15,2603.59326171875,2610.7069045103312,2575.1386905524246,2610.7069045103312,263544000,BBRI
2021-09-16,2589.365966796875,2603.593252328726,2568.025038499098,2596.4796095628003,194782800,BBRI
2021-09-17,2568.025390625,2589.3663218490306,2539.570815659626,2582.252678107687,346529100,BBRI
2021-09-20,2553.7978515625,2553.7978515625,2496.8887072379875,2553.7978515625,357971300,BBRI
2021-09-21,2539.57080078125,2546.684444480917,2489.775294883578,2496.888938583246,410533900,BBRI
2021-09-22,2568.025390625,2596.479965590374,2504.002596952909,2504.002596952909,416087300,BBRI
2021-09-23,2681.84375,2681.84375,2553.798159814324,2560.911803713528,432390800,BBRI
2021-09-24,2717.41162109375,2745.8661930423755,2681.843406157968,2696.070692132281,634549600,BBRI
2021-09-27,2667.6162109375,2703.184427083333,2653.3889244791667,2681.8434973958333,380151200,BBRI
2021-09-28,2646.27490234375,2681.8431133967574,2624.933975711945,2681.8431133967574,306827400,BBRI
2021-09-29,2660.50244140625,2667.61608429771,2624.934226948947,2646.275155623329,143081800,BBRI
2021-09-30,2738.75244140625,2752.9797268161524,2667.6160143567367,2674.729657061688,416099000,BBRI
2021-10-01,2774.321044921875,2788.5483323317308,2724.52553898738,2738.752826397236,359864700,BBRI
2021-10-04,2824.116455078125,2852.5710289328163,2767.207307368742,2774.320950832415,335762600,BBRI
2021-10-05,2795.661865234375,2831.230082349316,2781.4345783883987,2809.889152080352,236562700,BBRI
2021-10-06,2930.82080078125,2952.1617289422784,2788.547946374393,2788.547946374393,446708800,BBRI
2021-10-07,2930.82080078125,2966.3890143829644,2895.252587179536,2952.1617289422784,264905400,BBRI
2021-10-08,2959.27587890625,3016.1850304236777,2937.9349470872144,2980.6168107252856,196631600,BBRI
